motif,n_recent,n_prev,delta,growth_ratio,recent_months,prev_months
complexité,184,168,16,1.0946745562130178,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
parcours,514,498,16,1.032064128256513,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
lenteur,329,327,2,1.0060975609756098,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
photo,745,747,-2,0.9973262032085561,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
authentification,180,185,-5,0.9731182795698925,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
bug,229,255,-26,0.8984375,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
