situation,n_recent,n_prev,delta,growth_ratio,recent_months,prev_months
blocage_parcours,480,486,-6,0.9876796714579056,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
perte_temps,472,484,-12,0.9752577319587629,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
essais_multiples,453,480,-27,0.9438669438669439,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
recours_support,152,166,-14,0.9161676646706587,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
