motif,n_comments,share,neg_share,note_mean,note_count,n_recent,n_prev,delta,growth_ratio,note_penalty,growth_excess,volume_norm,neg_norm,note_norm,growth_norm,business_score_0_100
photo,2989,0.3455491329479769,0.602542656406825,2.3108062897290065,2989,745,747,-2,0.997326203208556,2.6891937102709935,0.0,1.0,0.602542656406825,0.5942824893200178,0.0,69.92062864317109
parcours,1965,0.22716763005780347,0.6173027989821883,2.295674300254453,1965,514,498,16,1.032064128256513,2.704325699745547,0.03206412825651306,0.5530336097773898,0.6173027989821883,0.6847415216309535,0.338677354709419,58.05922595351832
complexité,698,0.08069364161849711,0.6146131805157593,2.2564469914040113,698,184,168,16,1.0946745562130178,2.7435530085959887,0.09467455621301779,0.0,0.6146131805157593,0.9192423719481139,1.0,48.34638881159683
authentification,708,0.08184971098265896,0.617231638418079,2.2429378531073447,708,180,185,-5,0.9731182795698924,2.7570621468926553,0.0,0.004364906154517678,0.617231638418079,1.0,0.0,40.605387206632685
bug,959,0.11086705202312139,0.583941605839416,2.337851929092805,959,229,255,-26,0.8984375,2.662148070907195,0.0,0.11392405063291139,0.583941605839416,0.43260365857579175,0.0,29.970593635696652
lenteur,1331,0.1538728323699422,0.5589782118707739,2.4102178812922617,1331,329,327,2,1.0060975609756098,2.5897821187077383,0.0060975609756097615,0.276298559580969,0.5589782118707739,0.0,0.06440548780487808,25.670452558056887
