motif,n_comments,share,neg,neu,pos,total,neg_share,neu_share,pos_share,note_mean,note_count,top_situations
photo,2989,0.3455491329479769,1801,767,421,2989,0.602542656406825,0.2566075610572098,0.1408497825359652,2.3108062897290065,2989,"blocage_parcours, essais_multiples, perte_temps"
parcours,1965,0.22716763005780347,1213,469,283,1965,0.6173027989821883,0.238676844783715,0.1440203562340967,2.295674300254453,1965,"blocage_parcours, essais_multiples, perte_temps"
lenteur,1331,0.1538728323699422,744,364,223,1331,0.5589782118707739,0.2734785875281743,0.16754320060105185,2.4102178812922617,1331,"essais_multiples, perte_temps, blocage_parcours"
bug,959,0.11086705202312139,560,259,140,959,0.583941605839416,0.27007299270072993,0.145985401459854,2.337851929092805,959,"perte_temps, essais_multiples, blocage_parcours"
authentification,708,0.08184971098265896,437,181,90,708,0.617231638418079,0.2556497175141243,0.1271186440677966,2.2429378531073447,708,"perte_temps, essais_multiples, blocage_parcours"
complexité,698,0.08069364161849711,429,190,79,698,0.6146131805157593,0.2722063037249284,0.11318051575931232,2.2564469914040113,698,"perte_temps, essais_multiples, recours_support"
